domain,last_update_date,categories,total_votes
myhealthlib.com,1696291200,{},"{""harmless"": 0, ""malicious"": 0}"
xinyuhua.net,1621153077,{},"{""harmless"": 0, ""malicious"": 0}"
doehetzelfcloud.com,1704653896,"{""Forcepoint ThreatSeeker"": ""newly registered websites"", ""Comodo Valkyrie Verdict"": ""media sharing""}","{""harmless"": 0, ""malicious"": 0}"
computervrijheid.com,1704653883,"{""Forcepoint ThreatSeeker"": ""newly registered websites"", ""Comodo Valkyrie Verdict"": ""media sharing""}","{""harmless"": 0, ""malicious"": 0}"
speeldomein.com,1704653964,"{""Forcepoint ThreatSeeker"": ""newly registered websites"", ""Comodo Valkyrie Verdict"": ""media sharing""}","{""harmless"": 0, ""malicious"": 0}"
aispacesolutions.com,1703376000,{},"{""harmless"": 0, ""malicious"": 0}"
libregaming.com,1704653934,"{""Forcepoint ThreatSeeker"": ""newly registered websites"", ""Comodo Valkyrie Verdict"": ""online storage""}","{""harmless"": 0, ""malicious"": 0}"
reflect123.top,1686700800,{},"{""harmless"": 0, ""malicious"": 0}"
selfmadecloud.com,1704653952,"{""Forcepoint ThreatSeeker"": ""newly registered websites"", ""Comodo Valkyrie Verdict"": ""media sharing""}","{""harmless"": 0, ""malicious"": 0}"
mikeconleygeckos.net,1698624000,{},"{""harmless"": 0, ""malicious"": 0}"
dangxindian.shop,1697587200,{},"{""harmless"": 0, ""malicious"": 0}"
mordreal.com,1704653946,"{""Forcepoint ThreatSeeker"": ""newly registered websites"", ""Comodo Valkyrie Verdict"": ""media sharing""}","{""harmless"": 0, ""malicious"": 0}"
meitishidai.net,1688169600,{},"{""harmless"": 0, ""malicious"": 0}"
flareapp.net,1695772800,{},"{""harmless"": 0, ""malicious"": 0}"
hottieelectrics.com,1685145600,"{""Forcepoint ThreatSeeker"": ""business and economy""}","{""harmless"": 0, ""malicious"": 0}"
softwaresparadise.com,1691366400,{},"{""harmless"": 0, ""malicious"": 0}"
lydjd.net,1675296000,{},"{""harmless"": 0, ""malicious"": 0}"
4motion-trainings.ru,,"{""Xcitium Verdict Cloud"": ""unknown""}","{""harmless"": 0, ""malicious"": 0}"
boukev.com,1643567287,"{""Forcepoint ThreatSeeker"": ""newly registered websites"", ""Comodo Valkyrie Verdict"": ""media sharing""}","{""harmless"": 0, ""malicious"": 0}"
artiste.cfd,1682380800,"{""Forcepoint ThreatSeeker"": ""information technology"", ""Xcitium Verdict Cloud"": ""unknown""}","{""harmless"": 0, ""malicious"": 0}"
toposhibok.ru,,{},"{""harmless"": 0, ""malicious"": 0}"
medical-world.info,1707868800,{},"{""harmless"": 0, ""malicious"": 0}"
fxed.ru,,"{""BitDefender"": ""parked""}","{""harmless"": 0, ""malicious"": 0}"
hardwarefreedom.com,1675153402,"{""Forcepoint ThreatSeeker"": ""newly registered websites""}","{""harmless"": 0, ""malicious"": 0}"
